indicator,ISO Country code,happy planet index : 2019,human development index : 2021,sustainable economic development assessment (SEDA) : 2018,population : 2018,surface area (Km2) : 2018,"GDP growth
(annual %) : 2021 or latest year","GDP 
($ USD billions PPP) : 2021",GDP per capita in $ (PPP) : 2021,Economic Growth : 2021 or latest,"health expenditure 
per person : 2019",infant mortality : 2020,"maternal mortality per 100,000 live births : 2017 (latest year)","education expenditure
% of GDP : 2021 or latest year",Education as % of GDP : 2021 or latest,% of primary school aged kids out of school : 2021 or latest year,unemployment (%) : 2021,% of population in extreme poverty : latest year,% of population with access to electricity : 2020,political rights score : 2022,civil liberties score : 2022,political stability & absence of violence : 2021,government effectiveness : 2021,regulatory quality : 2021,rule of law : 2021,control of corruption : 2021,judicial effectiveness score : 2022,government integrity score : 2022,overall economic freedom score : 2022,financial freedom score : 2022,government expenditure (% of GDP) : 2018,CO2e emissions per capita : 2019,share of electricity from renewables generation : 2020 or latest year,% of seats held by women in national parliaments : 2021,Military Spending as % of GDP : 2021
Afghanistan,AFG,29.4,0.478,-,"36,000,000","652,230",-2.35,,,-2.35,65.8,60.8,638,,3.21,,13.28,0,97.7,1,9,-2.53,-1.6,-1.3,-1.871,-1.14,-,-,-,-,26.3,0.16,82.8,27,
Albania,ALB,51,0.796,53.1,"2,900,000","27,398",8.54,40.8,15646,8.54,,2.4,15,3.1,3.1,3.84,11.82,0,100,28,39,0.11,0,0.2,-0.256,-0.56,49.8,35.6,66.6,70,30.1,1.69,100,36,1.42
Algeria,DZA,46.5,0.745,45.8,"41,000,000","2,381,740",3.85,488.9,12037,3.85,248.2,11.6,112,6.1,6.1,0.18,12.7,,99.8,10,22,-0.88,-0.6,-1.2,-0.816,-0.61,29.7,30.1,45.8,30,42.5,3.98,1.1,8,5.59
Angola,AGO,-,0.586,28.4,"30,000,000","1,246,700",0.7,203.3,6581,0.7,71.3,8.8,241,2.42,2.42,,8.53,11.9,46.9,10,20,-0.71,-1.1,-0.7,-0.952,-0.66,25.3,20.6,52.6,40,32.1,0.79,68.2,30,1.13
Argentina,ARG,50,0.842,57.3,"44,000,000","2,736,690",10.26,985.2,23627,10.26,946,9.7,39,4.72,4.72,0.42,10.9,0.3,100,35,49,-0.11,-0.4,-0.6,-0.462,-0.4,57.9,45.1,50.1,60,38.5,3.74,27.1,45,0.57
Armenia,ARM,54.7,0.759,51.7,"3,000,000","28,203",5.7,39.5,14630,5.7,524,,26,2.71,2.71,10.48,20.9,0.1,100,23,32,-0.84,-0.2,0.1,-0.096,0.07,33.1,50.8,65.3,70,25.8,2.09,24.6,34,4.44
Australia,AUS,43.1,0.951,78.9,"25,000,000","7,682,300",1.48,"1,269.20",55807,1.48,5427.5,3,6,,,1.46,5.11,0.4,100,39,56,0.85,1.5,1.8,1.674,1.74,95.2,87,77.7,90,36,15.24,24.6,31,1.98
Austria,AUT,46.8,0.916,80.3,"9,000,000","82,445",4.48,483.1,58427,4.48,5242.2,17.3,5,,-,0.06,6.3,0.5,100,37,56,0.91,1.6,1.3,1.788,1.27,94.6,82.9,73.8,70,51.8,7.29,83.9,40,0.8
Azerbaijan,AZE,48,0.745,51.1,"10,000,000","82,629",5.6,146.3,15843,5.6,193.1,38.6,26,2.68,2.68,10.46,6.58,,100,2,7,-0.85,0.2,-0.1,-0.585,-0.83,15.9,28.6,61.6,60,36.8,3.54,12.3,18,5.27
Bahamas,BHS,-,0.812,60.4,"400,000","10,010",13.72,12.3,34108,13.72,2004.6,4.9,70,2.78,2.78,,13.24,,100,38,53,0.88,0.5,0.1,0.102,1.18,78.8,64.3,68.7,60,23.8,7.29,0,18,
